Year,UNIT_MEASURE,Spol,Starosna dob,Value
2013,Broj,Oba spola,Unknown,0.0
2013,Broj,Oba spola,Total,3531159.0
2013,Broj,Oba spola,0-14,543719.0
2013,Broj,Oba spola,15-29,723116.0
2013,Broj,Oba spola,15-49,1727081.0
2013,Broj,Oba spola,15-64,2485444.0
2013,Broj,Oba spola,65+,501996.0
2013,Broj,Oba spola,75+,207972.0
2013,Broj,Oba spola,85+,28069.0
2013,Broj,Oba spola,100+,201.0
1971,Broj,M,0-4,207129.0
1971,Broj,M,5-9,225726.0
1971,Broj,M,10-14,225066.0
1971,Broj,M,15-19,209215.0
1971,Broj,M,20-24,162073.0
1971,Broj,M,25-29,109724.0
1971,Broj,M,30-34,140952.0
1971,Broj,M,35-39,139035.0
1971,Broj,M,40-44,118781.0
1971,Broj,M,45-49,70017.0
1971,Broj,M,50-54,41069.0
1971,Broj,M,55-59,48828.0
1971,Broj,M,60-64,53087.0
1971,Broj,M,65-69,37590.0
1971,Broj,M,70-74,23136.0
1971,Broj,M,75-79,9502.0
1971,Broj,M,80-84,4300.0
1971,Broj,M,85-89,1636.0
1971,Broj,M,90-94,555.0
1971,Broj,M,95-99,158.0
1971,Broj,M,100-104,15.0
1971,Broj,M,105-109,0.0
1971,Broj,M,110-114,0.0
1971,Broj,M,115-120,0.0
1971,Broj,M,Unknown,7006.0
1971,Broj,M,Total,1834600.0
1971,Broj,M,0-14,657921.0
1971,Broj,M,15-29,481012.0
1971,Broj,M,15-49,949797.0
1971,Broj,M,15-64,1092781.0
1971,Broj,M,65+,83898.0
1971,Broj,M,75+,23172.0
1971,Broj,M,85+,2364.0
1971,Broj,M,100+,15.0
1981,Broj,M,0-4,178030.0
1981,Broj,M,5-9,185725.0
1981,Broj,M,10-14,198722.0
1981,Broj,M,15-19,220775.0
1981,Broj,M,20-24,205585.0
1981,Broj,M,25-29,170406.0
1981,Broj,M,30-34,125706.0
1981,Broj,M,35-39,91391.0
1981,Broj,M,40-44,123183.0
1981,Broj,M,45-49,123327.0
1981,Broj,M,50-54,107239.0
1981,Broj,M,55-59,62482.0
1981,Broj,M,60-64,35034.0
1981,Broj,M,65-69,37830.0
1981,Broj,M,70-74,34700.0
1981,Broj,M,75-79,19399.0
1981,Broj,M,80-84,9446.0
1981,Broj,M,85-89,2435.0
1981,Broj,M,90-94,810.0
1981,Broj,M,95-99,320.0
1981,Broj,M,100-104,25.0
1981,Broj,M,105-109,0.0
1981,Broj,M,110-114,0.0
1981,Broj,M,115-120,0.0
1981,Broj,M,Unknown,2923.0
1981,Broj,M,Total,1935493.0
1981,Broj,M,0-14,562477.0
1981,Broj,M,15-29,596766.0
1981,Broj,M,15-49,1060373.0
1981,Broj,M,15-64,1265128.0
1981,Broj,M,65+,107888.0
1981,Broj,M,75+,35358.0
1981,Broj,M,85+,3590.0
1981,Broj,M,100+,25.0
1991,Broj,M,0-4,165380.0
1991,Broj,M,5-9,172585.0
1991,Broj,M,10-14,171325.0
1991,Broj,M,15-19,176899.0
1991,Broj,M,20-24,176964.0
1991,Broj,M,25-29,180750.0
1991,Broj,M,30-34,174952.0
1991,Broj,M,35-39,158175.0
1991,Broj,M,40-44,120184.0
1991,Broj,M,45-49,86297.0
1991,Broj,M,50-54,114074.0
1991,Broj,M,55-59,110798.0
1991,Broj,M,60-64,91391.0
1991,Broj,M,65-69,47796.0
1991,Broj,M,70-74,22785.0
1991,Broj,M,75-79,19076.0
1991,Broj,M,80-84,12614.0
1991,Broj,M,85-89,4367.0
1991,Broj,M,90-94,927.0
1991,Broj,M,95-99,106.0
1991,Broj,M,100-104,14.0
1991,Broj,M,105-109,7.0
1991,Broj,M,110-114,4.0
1991,Broj,M,115-120,2.0
1991,Broj,M,Unknown,33305.0
1991,Broj,M,Total,2040777.0
1991,Broj,M,0-14,509290.0
1991,Broj,M,15-29,534613.0
1991,Broj,M,15-49,1074221.0
1991,Broj,M,15-64,1390484.0
1991,Broj,M,65+,141003.0
1991,Broj,M,75+,70422.0
1991,Broj,M,85+,5427.0
1991,Broj,M,100+,27.0
2013,Broj,M,0-4,89442.0
2013,Broj,M,5-9,90881.0
2013,Broj,M,10-14,98653.0
2013,Broj,M,15-19,124900.0
2013,Broj,M,20-24,116883.0
2013,Broj,M,25-29,129248.0
2013,Broj,M,30-34,128593.0
2013,Broj,M,35-39,126145.0
2013,Broj,M,40-44,121595.0
2013,Broj,M,45-49,130087.0
2013,Broj,M,50-54,136153.0
2013,Broj,M,55-59,125576.0
2013,Broj,M,60-64,104970.0
2013,Broj,M,65-69,69066.0
2013,Broj,M,70-74,59854.0
2013,Broj,M,75-79,47403.0
2013,Broj,M,80-84,23769.0
2013,Broj,M,85-89,7555.0
2013,Broj,M,90-94,1311.0
2013,Broj,M,95-99,108.0
2013,Broj,M,100-104,29.0
2013,Broj,M,105-109,17.0
2013,Broj,M,110-114,32.0
2013,Broj,M,115-120,0.0
2013,Broj,M,Unknown,0.0
2013,Broj,M,Total,1732270.0
2013,Broj,M,0-14,278976.0
2013,Broj,M,15-29,371031.0
2013,Broj,M,15-49,877451.0
2013,Broj,M,15-64,1244150.0
2013,Broj,M,65+,209144.0
2013,Broj,M,75+,80224.0
2013,Broj,M,85+,9052.0
2013,Broj,M,100+,78.0
1971,Broj,Ž,0-4,198376.0
1971,Broj,Ž,5-9,216939.0
1971,Broj,Ž,10-14,217133.0
1971,Broj,Ž,15-19,202172.0
1971,Broj,Ž,20-24,157244.0
1971,Broj,Ž,25-29,116003.0
1971,Broj,Ž,30-34,148858.0
1971,Broj,Ž,35-39,141447.0
1971,Broj,Ž,40-44,124235.0
1971,Broj,Ž,45-49,96224.0
1971,Broj,Ž,50-54,60771.0
1971,Broj,Ž,55-59,65801.0
1971,Broj,Ž,60-64,59640.0
1971,Broj,Ž,65-69,42218.0
1971,Broj,Ž,70-74,30413.0
1971,Broj,Ž,75-79,13548.0
1971,Broj,Ž,80-84,7852.0
1971,Broj,Ž,85-89,3476.0
1971,Broj,Ž,90-94,1383.0
1971,Broj,Ž,95-99,514.0
1971,Broj,Ž,100-104,47.0
1971,Broj,Ž,105-109,0.0
1971,Broj,Ž,110-114,0.0
1971,Broj,Ž,115-120,0.0
1971,Broj,Ž,Unknown,7217.0
1971,Broj,Ž,Total,1911511.0
1971,Broj,Ž,0-14,632448.0
1971,Broj,Ž,15-29,475419.0
1971,Broj,Ž,15-49,986183.0
1971,Broj,Ž,15-64,1172395.0
1971,Broj,Ž,65+,106668.0
1971,Broj,Ž,75+,34037.0
1971,Broj,Ž,85+,5420.0
1971,Broj,Ž,100+,47.0
1981,Broj,Ž,0-4,177130.0
1981,Broj,Ž,5-9,189147.0
1981,Broj,Ž,10-14,207896.0
1981,Broj,Ž,15-19,186691.0
1981,Broj,Ž,20-24,159698.0
1981,Broj,Ž,25-29,133472.0
1981,Broj,Ž,30-34,104397.0
1981,Broj,Ž,35-39,137357.0
1981,Broj,Ž,40-44,131616.0
1981,Broj,Ž,45-49,116935.0
1981,Broj,Ž,50-54,90094.0
1981,Broj,Ž,55-59,54623.0
1981,Broj,Ž,60-64,54267.0
1981,Broj,Ž,65-69,42792.0
1981,Broj,Ž,70-74,25147.0
1981,Broj,Ž,75-79,14123.0
1981,Broj,Ž,80-84,4446.0
1981,Broj,Ž,85-89,1798.0
1981,Broj,Ž,90-94,680.0
1981,Broj,Ž,95-99,81.0
1981,Broj,Ž,100-104,0.0
1981,Broj,Ž,105-109,0.0
1981,Broj,Ž,110-114,0.0
1981,Broj,Ž,115-120,2743.0
1981,Broj,Ž,Unknown,2005823.0
1981,Broj,Ž,Total,3941316.0
1981,Broj,Ž,0-14,536967.0
1981,Broj,Ž,15-29,554285.0
1981,Broj,Ž,15-49,1061127.0
1981,Broj,Ž,15-64,1322779.0
1981,Broj,Ž,65+,146077.0
1981,Broj,Ž,75+,49018.0
1981,Broj,Ž,85+,7005.0
1981,Broj,Ž,100+,81.0
1991,Broj,Ž,0-4,157108.0
1991,Broj,Ž,5-9,164525.0
1991,Broj,Ž,10-14,163412.0
1991,Broj,Ž,15-19,165630.0
1991,Broj,Ž,20-24,162094.0
1991,Broj,Ž,25-29,170619.0
1991,Broj,Ž,30-34,168310.0
1991,Broj,Ž,35-39,152733.0
1991,Broj,Ž,40-44,128815.0
1991,Broj,Ž,45-49,98024.0
1991,Broj,Ž,50-54,128709.0
1991,Broj,Ž,55-59,122250.0
1991,Broj,Ž,60-64,105128.0
1991,Broj,Ž,65-69,76378.0
1991,Broj,Ž,70-74,39914.0
1991,Broj,Ž,75-79,31593.0
1991,Broj,Ž,80-84,18145.0
1991,Broj,Ž,85-89,7157.0
1991,Broj,Ž,90-94,1959.0
1991,Broj,Ž,95-99,329.0
1991,Broj,Ž,100-104,85.0
1991,Broj,Ž,105-109,12.0
1991,Broj,Ž,110-114,9.0
1991,Broj,Ž,115-120,2.0
1991,Broj,Ž,Unknown,36922.0
1991,Broj,Ž,Total,2099862.0
1991,Broj,Ž,0-14,485045.0
1991,Broj,Ž,15-29,498343.0
1991,Broj,Ž,15-49,1046225.0
1991,Broj,Ž,15-64,1402312.0
1991,Broj,Ž,65+,212505.0
1991,Broj,Ž,75+,96213.0
1991,Broj,Ž,85+,9553.0
1991,Broj,Ž,100+,108.0
2013,Broj,Ž,0-4,84622.0
2013,Broj,Ž,5-9,86099.0
2013,Broj,Ž,10-14,94022.0
2013,Broj,Ž,15-19,117842.0
2013,Broj,Ž,20-24,111173.0
2013,Broj,Ž,25-29,123070.0
2013,Broj,Ž,30-34,124040.0
2013,Broj,Ž,35-39,123121.0
2013,Broj,Ž,40-44,119543.0
2013,Broj,Ž,45-49,130841.0
2013,Broj,Ž,50-54,140422.0
2013,Broj,Ž,55-59,132961.0
2013,Broj,Ž,60-64,118281.0
2013,Broj,Ž,65-69,84503.0
2013,Broj,Ž,70-74,80601.0
2013,Broj,Ž,75-79,69864.0
2013,Broj,Ž,80-84,38867.0
2013,Broj,Ž,85-89,14967.0
2013,Broj,Ž,90-94,3551.0
2013,Broj,Ž,95-99,376.0
2013,Broj,Ž,100-104,79.0
2013,Broj,Ž,105-109,17.0
2013,Broj,Ž,110-114,27.0
2013,Broj,Ž,115-120,0.0
2013,Broj,Ž,Unknown,0.0
2013,Broj,Ž,Total,1798889.0
2013,Broj,Ž,0-14,264743.0
2013,Broj,Ž,15-29,352085.0
2013,Broj,Ž,15-49,849630.0
2013,Broj,Ž,15-64,1241294.0
2013,Broj,Ž,65+,292852.0
2013,Broj,Ž,75+,127748.0
2013,Broj,Ž,85+,19017.0
2013,Broj,Ž,100+,123.0
1971,% od ukupno,Oba spola,0-4,10.82
1971,% od ukupno,Oba spola,5-9,11.82
1971,% od ukupno,Oba spola,10-14,11.8
1971,% od ukupno,Oba spola,15-19,10.98
1971,% od ukupno,Oba spola,20-24,8.52
1971,% od ukupno,Oba spola,25-29,6.03
1971,% od ukupno,Oba spola,30-34,7.74
1971,% od ukupno,Oba spola,35-39,7.49
1971,% od ukupno,Oba spola,40-44,6.49
1971,% od ukupno,Oba spola,45-49,4.44
1971,% od ukupno,Oba spola,50-54,2.72
1971,% od ukupno,Oba spola,55-59,3.06
1971,% od ukupno,Oba spola,60-64,3.01
1971,% od ukupno,Oba spola,65-69,2.13
1971,% od ukupno,Oba spola,70-74,1.43
1971,% od ukupno,Oba spola,75-79,0.62
1971,% od ukupno,Oba spola,80-84,0.32
1971,% od ukupno,Oba spola,85-89,0.14
1971,% od ukupno,Oba spola,90-94,0.05
1971,% od ukupno,Oba spola,95-99,0.02
1971,% od ukupno,Oba spola,100-104,0.0
1971,% od ukupno,Oba spola,105-109,0.0
1971,% od ukupno,Oba spola,110-114,0.0
1971,% od ukupno,Oba spola,115-120,0.0
1971,% od ukupno,Oba spola,Unknown,0.38
1971,% od ukupno,Oba spola,Total,100.0
1971,% od ukupno,Oba spola,0-14,34.45
1971,% od ukupno,Oba spola,15-29,25.53
1971,% od ukupno,Oba spola,15-49,51.68
1971,% od ukupno,Oba spola,15-64,60.47
1971,% od ukupno,Oba spola,65+,5.09
1971,% od ukupno,Oba spola,75+,1.53
1971,% od ukupno,Oba spola,85+,0.21
1971,% od ukupno,Oba spola,100+,0.0
1981,% od ukupno,Oba spola,0-4,8.85
1981,% od ukupno,Oba spola,5-9,9.21
1981,% od ukupno,Oba spola,10-14,9.84
1981,% od ukupno,Oba spola,15-19,10.88
1981,% od ukupno,Oba spola,20-24,9.95
1981,% od ukupno,Oba spola,25-29,8.38
1981,% od ukupno,Oba spola,30-34,6.58
1981,% od ukupno,Oba spola,35-39,4.97
1981,% od ukupno,Oba spola,40-44,6.61
1981,% od ukupno,Oba spola,45-49,6.47
1981,% od ukupno,Oba spola,50-54,5.69
1981,% od ukupno,Oba spola,55-59,3.87
1981,% od ukupno,Oba spola,60-64,2.27
1981,% od ukupno,Oba spola,65-69,2.34
1981,% od ukupno,Oba spola,70-74,1.97
1981,% od ukupno,Oba spola,75-79,1.13
1981,% od ukupno,Oba spola,80-84,0.6
1981,% od ukupno,Oba spola,85-89,0.17
1981,% od ukupno,Oba spola,90-94,0.07
1981,% od ukupno,Oba spola,95-99,0.03
1981,% od ukupno,Oba spola,100-104,0.0
1981,% od ukupno,Oba spola,105-109,0.0
1981,% od ukupno,Oba spola,110-114,0.0
1981,% od ukupno,Oba spola,115-120,0.0
1981,% od ukupno,Oba spola,Unknown,0.14
1981,% od ukupno,Oba spola,Total,100.0
1981,% od ukupno,Oba spola,0-14,27.9
1981,% od ukupno,Oba spola,15-29,29.2
1981,% od ukupno,Oba spola,15-49,53.83
1981,% od ukupno,Oba spola,15-64,65.66
1981,% od ukupno,Oba spola,65+,6.44
1981,% od ukupno,Oba spola,75+,2.14
1981,% od ukupno,Oba spola,85+,0.27
1981,% od ukupno,Oba spola,100+,0.0
1991,% od ukupno,Oba spola,0-4,7.79
1991,% od ukupno,Oba spola,5-9,8.14
1991,% od ukupno,Oba spola,10-14,8.08
1991,% od ukupno,Oba spola,15-19,8.27
1991,% od ukupno,Oba spola,20-24,8.19
1991,% od ukupno,Oba spola,25-29,8.49
1991,% od ukupno,Oba spola,30-34,8.29
1991,% od ukupno,Oba spola,35-39,7.51
1991,% od ukupno,Oba spola,40-44,6.01
1991,% od ukupno,Oba spola,45-49,4.45
1991,% od ukupno,Oba spola,50-54,5.86
1991,% od ukupno,Oba spola,55-59,5.63
1991,% od ukupno,Oba spola,60-64,4.75
1991,% od ukupno,Oba spola,65-69,3.0
1991,% od ukupno,Oba spola,70-74,1.51
1991,% od ukupno,Oba spola,75-79,1.22
1991,% od ukupno,Oba spola,80-84,0.74
1991,% od ukupno,Oba spola,85-89,0.28
1991,% od ukupno,Oba spola,90-94,0.07
1991,% od ukupno,Oba spola,95-99,0.01
1991,% od ukupno,Oba spola,100-104,0.0
1991,% od ukupno,Oba spola,105-109,0.0
1991,% od ukupno,Oba spola,110-114,0.0
1991,% od ukupno,Oba spola,115-120,0.0
1991,% od ukupno,Oba spola,Unknown,1.7
1991,% od ukupno,Oba spola,Total,100.0
1991,% od ukupno,Oba spola,0-14,24.01
1991,% od ukupno,Oba spola,15-29,24.95
1991,% od ukupno,Oba spola,15-49,51.21
1991,% od ukupno,Oba spola,15-64,67.45
1991,% od ukupno,Oba spola,65+,8.54
1991,% od ukupno,Oba spola,75+,4.02
1991,% od ukupno,Oba spola,85+,0.36
1991,% od ukupno,Oba spola,100+,0.0
2013,% od ukupno,Oba spola,0-4,4.93
2013,% od ukupno,Oba spola,5-9,5.01
2013,% od ukupno,Oba spola,10-14,5.46
2013,% od ukupno,Oba spola,15-19,6.87
2013,% od ukupno,Oba spola,20-24,6.46
2013,% od ukupno,Oba spola,25-29,7.15
2013,% od ukupno,Oba spola,30-34,7.15
2013,% od ukupno,Oba spola,35-39,7.06
2013,% od ukupno,Oba spola,40-44,6.83
2013,% od ukupno,Oba spola,45-49,7.39
2013,% od ukupno,Oba spola,50-54,7.83
2013,% od ukupno,Oba spola,55-59,7.32
2013,% od ukupno,Oba spola,60-64,6.32
2013,% od ukupno,Oba spola,65-69,4.35
2013,% od ukupno,Oba spola,70-74,3.98
2013,% od ukupno,Oba spola,75-79,3.32
2013,% od ukupno,Oba spola,80-84,1.77
2013,% od ukupno,Oba spola,85-89,0.64
2013,% od ukupno,Oba spola,90-94,0.14
2013,% od ukupno,Oba spola,95-99,0.01
2013,% od ukupno,Oba spola,100-104,0.0
2013,% od ukupno,Oba spola,105-109,0.0
2013,% od ukupno,Oba spola,110-114,0.0
2013,% od ukupno,Oba spola,115-120,0.0
2013,% od ukupno,Oba spola,Unknown,0.0
2013,% od ukupno,Oba spola,Total,100.0
2013,% od ukupno,Oba spola,0-14,15.4
2013,% od ukupno,Oba spola,15-29,20.48
2013,% od ukupno,Oba spola,15-49,48.91
2013,% od ukupno,Oba spola,15-64,70.39
2013,% od ukupno,Oba spola,65+,14.22
2013,% od ukupno,Oba spola,75+,5.89
2013,% od ukupno,Oba spola,85+,0.79
2013,% od ukupno,Oba spola,100+,0.01
1971,% od ukupno,M,0-4,5.53
1971,% od ukupno,M,5-9,6.03
1971,% od ukupno,M,10-14,6.01
1971,% od ukupno,M,15-19,5.58
1971,% od ukupno,M,20-24,4.33
1971,% od ukupno,M,25-29,2.93
1971,% od ukupno,M,30-34,3.76
1971,% od ukupno,M,35-39,3.71
1971,% od ukupno,M,40-44,3.17
1971,% od ukupno,M,45-49,1.87
1971,% od ukupno,M,50-54,1.1
1971,% od ukupno,M,55-59,1.3
1971,% od ukupno,M,60-64,1.42
1971,% od ukupno,M,65-69,1.0
1971,% od ukupno,M,70-74,0.62
1971,% od ukupno,M,75-79,0.25
1971,% od ukupno,M,80-84,0.11
1971,% od ukupno,M,85-89,0.04
1971,% od ukupno,M,90-94,0.01
1971,% od ukupno,M,95-99,0.0
1971,% od ukupno,M,100-104,0.0
1971,% od ukupno,M,105-109,0.0
1971,% od ukupno,M,110-114,0.0
1971,% od ukupno,M,115-120,0.0
1971,% od ukupno,M,Unknown,0.19
1971,% od ukupno,M,Total,48.97
1971,% od ukupno,M,0-14,17.56
1971,% od ukupno,M,15-29,12.84
1971,% od ukupno,M,15-49,25.35
1971,% od ukupno,M,15-64,29.17
1971,% od ukupno,M,65+,2.24
1971,% od ukupno,M,75+,0.62
1971,% od ukupno,M,85+,0.06
1971,% od ukupno,M,100+,0.0
1981,% od ukupno,M,0-4,4.52
1981,% od ukupno,M,5-9,4.71
1981,% od ukupno,M,10-14,5.04
1981,% od ukupno,M,15-19,5.6
1981,% od ukupno,M,20-24,5.22
1981,% od ukupno,M,25-29,4.32
1981,% od ukupno,M,30-34,3.19
1981,% od ukupno,M,35-39,2.32
1981,% od ukupno,M,40-44,3.13
1981,% od ukupno,M,45-49,3.13
1981,% od ukupno,M,50-54,2.72
1981,% od ukupno,M,55-59,1.59
1981,% od ukupno,M,60-64,0.89
1981,% od ukupno,M,65-69,0.96
1981,% od ukupno,M,70-74,0.88
1981,% od ukupno,M,75-79,0.49
1981,% od ukupno,M,80-84,0.24
1981,% od ukupno,M,85-89,0.06
1981,% od ukupno,M,90-94,0.02
1981,% od ukupno,M,95-99,0.01
1981,% od ukupno,M,100-104,0.0
1981,% od ukupno,M,105-109,0.0
1981,% od ukupno,M,110-114,0.0
1981,% od ukupno,M,115-120,0.0
1981,% od ukupno,M,Unknown,0.07
1981,% od ukupno,M,Total,49.11
1981,% od ukupno,M,0-14,14.27
1981,% od ukupno,M,15-29,15.14
1981,% od ukupno,M,15-49,26.9
1981,% od ukupno,M,15-64,32.1
1981,% od ukupno,M,65+,2.74
1981,% od ukupno,M,75+,0.9
1981,% od ukupno,M,85+,0.09
1981,% od ukupno,M,100+,0.0
1991,% od ukupno,M,0-4,3.99
1991,% od ukupno,M,5-9,4.17
1991,% od ukupno,M,10-14,4.14
1991,% od ukupno,M,15-19,4.27
1991,% od ukupno,M,20-24,4.27
1991,% od ukupno,M,25-29,4.37
1991,% od ukupno,M,30-34,4.23
1991,% od ukupno,M,35-39,3.82
1991,% od ukupno,M,40-44,2.9
1991,% od ukupno,M,45-49,2.08
1991,% od ukupno,M,50-54,2.75
1991,% od ukupno,M,55-59,2.68
1991,% od ukupno,M,60-64,2.21
1991,% od ukupno,M,65-69,1.15
1991,% od ukupno,M,70-74,0.55
1991,% od ukupno,M,75-79,0.46
1991,% od ukupno,M,80-84,0.3
1991,% od ukupno,M,85-89,0.11
1991,% od ukupno,M,90-94,0.02
1991,% od ukupno,M,95-99,0.0
1991,% od ukupno,M,100-104,0.0
1991,% od ukupno,M,105-109,0.0
1991,% od ukupno,M,110-114,0.0
1991,% od ukupno,M,115-120,0.0
1991,% od ukupno,M,Unknown,0.8
1991,% od ukupno,M,Total,49.29
1991,% od ukupno,M,0-14,12.3
1991,% od ukupno,M,15-29,12.91
1991,% od ukupno,M,15-49,25.94
1991,% od ukupno,M,15-64,33.58
1991,% od ukupno,M,65+,3.41
1991,% od ukupno,M,75+,1.7
1991,% od ukupno,M,85+,0.13
1991,% od ukupno,M,100+,0.0
2013,% od ukupno,M,0-4,2.53
2013,% od ukupno,M,5-9,2.57
2013,% od ukupno,M,10-14,2.79
2013,% od ukupno,M,15-19,3.54
2013,% od ukupno,M,20-24,3.31
2013,% od ukupno,M,25-29,3.66
2013,% od ukupno,M,30-34,3.64
2013,% od ukupno,M,35-39,3.57
2013,% od ukupno,M,40-44,3.44
2013,% od ukupno,M,45-49,3.68
2013,% od ukupno,M,50-54,3.86
2013,% od ukupno,M,55-59,3.56
2013,% od ukupno,M,60-64,2.97
2013,% od ukupno,M,65-69,1.96
2013,% od ukupno,M,70-74,1.7
2013,% od ukupno,M,75-79,1.34
2013,% od ukupno,M,80-84,0.67
2013,% od ukupno,M,85-89,0.21
2013,% od ukupno,M,90-94,0.04
2013,% od ukupno,M,95-99,0.0
2013,% od ukupno,M,100-104,0.0
2013,% od ukupno,M,105-109,0.0
2013,% od ukupno,M,110-114,0.0
2013,% od ukupno,M,115-120,0.0
2013,% od ukupno,M,Unknown,0.0
2013,% od ukupno,M,Total,49.06
2013,% od ukupno,M,0-14,7.9
2013,% od ukupno,M,15-29,10.51
2013,% od ukupno,M,15-49,24.85
