Year,UNIT_MEASURE,Value
1989,Broj na 1.000 stanovnika,15.5
1990,Broj na 1.000 stanovnika,15.4
1991,Broj na 1.000 stanovnika,14.9
1996,Broj na 1.000 stanovnika,12.8
1997,Broj na 1.000 stanovnika,12.9
1998,Broj na 1.000 stanovnika,12.3
1999,Broj na 1.000 stanovnika,11.4
2000,Broj na 1.000 stanovnika,10.5
2001,Broj na 1.000 stanovnika,9.9
2002,Broj na 1.000 stanovnika,9.3
2003,Broj na 1.000 stanovnika,9.2
2004,Broj na 1.000 stanovnika,9.1
2005,Broj na 1.000 stanovnika,9.0
2006,Broj na 1.000 stanovnika,8.9
2007,Broj na 1.000 stanovnika,8.8
2008,Broj na 1.000 stanovnika,8.9
2009,Broj na 1.000 stanovnika,9.0
2010,Broj na 1.000 stanovnika,8.7
2011,Broj na 1.000 stanovnika,8.3
2012,Broj na 1.000 stanovnika,8.5
2013,Broj na 1.000 stanovnika,8.7
2014,Broj na 1.000 stanovnika,8.6
2015,Broj na 1.000 stanovnika,8.5
2016,Broj na 1.000 stanovnika,8.6
2017,Broj na 1.000 stanovnika,8.6
2018,Broj na 1.000 stanovnika,8.4
2019,Broj na 1.000 stanovnika,8.1
