Year,UNIT_MEASURE,Entitet,Value
1971,Starost,BiH,22.2
1981,Starost,BiH,23.0
2004,Starost,BiH,24.34
2005,Starost,BiH,24.41
2006,Starost,BiH,24.51
2007,Starost,BiH,24.76
2008,Starost,BiH,24.94
2009,Starost,BiH,25.25
2010,Starost,BiH,25.87
2011,Starost,BiH,26.25
2012,Starost,BiH,26.45
2013,Starost,BiH,26.69
2014,Starost,BiH,26.97
2015,Starost,BiH,27.17
2016,Starost,BiH,26.96
2017,Starost,BiH,27.28
2018,Starost,BiH,27.4
2019,Starost,BiH,27.68
1996,Starost,Federacija BiH,23.6
1997,Starost,Federacija BiH,23.5
1998,Starost,Federacija BiH,23.9
1999,Starost,Federacija BiH,24.2
2000,Starost,Federacija BiH,24.2
2001,Starost,Federacija BiH,24.2
2002,Starost,Federacija BiH,24.2
2003,Starost,Federacija BiH,24.3
2004,Starost,Federacija BiH,24.5
2005,Starost,Federacija BiH,24.5
2006,Starost,Federacija BiH,24.6
2007,Starost,Federacija BiH,24.8
2008,Starost,Federacija BiH,24.9
2009,Starost,Federacija BiH,25.1
2010,Starost,Federacija BiH,25.4
2011,Starost,Federacija BiH,25.6
2012,Starost,Federacija BiH,25.7
2013,Starost,Federacija BiH,26.05
2014,Starost,Federacija BiH,26.2
2015,Starost,Federacija BiH,26.4
2016,Starost,Federacija BiH,26.3
2017,Starost,Federacija BiH,26.7
2018,Starost,Federacija BiH,26.7
2019,Starost,Federacija BiH,26.8
1998,Starost,Republika Srpska,23.8
1999,Starost,Republika Srpska,24.4
2000,Starost,Republika Srpska,24.6
2001,Starost,Republika Srpska,24.2
2002,Starost,Republika Srpska,24.6
2003,Starost,Republika Srpska,23.7
2004,Starost,Republika Srpska,24.6
2005,Starost,Republika Srpska,24.9
2006,Starost,Republika Srpska,25.0
2007,Starost,Republika Srpska,25.0
2008,Starost,Republika Srpska,25.4
2009,Starost,Republika Srpska,25.6
2010,Starost,Republika Srpska,25.9
2011,Starost,Republika Srpska,26.3
2012,Starost,Republika Srpska,26.4
2013,Starost,Republika Srpska,26.75
2014,Starost,Republika Srpska,26.9
2015,Starost,Republika Srpska,27.2
2016,Starost,Republika Srpska,26.9
2017,Starost,Republika Srpska,27.3
2018,Starost,Republika Srpska,27.6
2019,Starost,Republika Srpska,27.8
2008,Starost,Brčko Distrikt BiH,25.08
2009,Starost,Brčko Distrikt BiH,25.49
2010,Starost,Brčko Distrikt BiH,25.79
2012,Starost,Brčko Distrikt BiH,26.71
2013,Starost,Brčko Distrikt BiH,26.55
2014,Starost,Brčko Distrikt BiH,26.15
2015,Starost,Brčko Distrikt BiH,27.01
2017,Starost,Brčko Distrikt BiH,27.48
2018,Starost,Brčko Distrikt BiH,27.63
2019,Starost,Brčko Distrikt BiH,27.5
