Year,CAUSE_OF_DEATH,UNIT_MEASURE,Spol,Value
1999,neoplasms,Broj,Oba spola,4591
1999,diseases_of_the_circulatory,Broj,Oba spola,15911
1999,diseases_of_the_respiratory,Broj,Oba spola,866
1999,diseases_of_the_digestive,Broj,Oba spola,709
1999,symptoms_signs_and_abnormal,Broj,Oba spola,2552
1999,injuries_poisoning_and_consequences,Broj,Oba spola,1022
1999,Ukupno,Broj,Oba spola,25651
1999,neoplasms,Broj,Muškarci,2752
1999,diseases_of_the_circulatory,Broj,Muškarci,77
1999,diseases_of_the_respiratory,Broj,Muškarci,498
1999,diseases_of_the_digestive,Broj,Muškarci,445
1999,symptoms_signs_and_abnormal,Broj,Muškarci,1347
1999,injuries_poisoning_and_consequences,Broj,Muškarci,786
1999,Ukupno,Broj,Muškarci,13528
1999,neoplasms,Broj,Žene,1839
1999,diseases_of_the_circulatory,Broj,Žene,8211
1999,diseases_of_the_respiratory,Broj,Žene,368
1999,diseases_of_the_digestive,Broj,Žene,264
1999,symptoms_signs_and_abnormal,Broj,Žene,1205
1999,injuries_poisoning_and_consequences,Broj,Žene,236
1999,Ukupno,Broj,Žene,12123
2000,neoplasms,Broj,Oba spola,5122
2000,diseases_of_the_circulatory,Broj,Oba spola,16283
2000,diseases_of_the_respiratory,Broj,Oba spola,805
2000,diseases_of_the_digestive,Broj,Oba spola,848
2000,symptoms_signs_and_abnormal,Broj,Oba spola,2860
2000,injuries_poisoning_and_consequences,Broj,Oba spola,1091
2000,Ukupno,Broj,Oba spola,27009
2000,neoplasms,Broj,Muškarci,3144
2000,diseases_of_the_circulatory,Broj,Muškarci,781
2000,diseases_of_the_respiratory,Broj,Muškarci,464
2000,diseases_of_the_digestive,Broj,Muškarci,518
2000,symptoms_signs_and_abnormal,Broj,Muškarci,1484
2000,injuries_poisoning_and_consequences,Broj,Muškarci,812
2000,Ukupno,Broj,Muškarci,14232
2000,neoplasms,Broj,Žene,1978
2000,diseases_of_the_circulatory,Broj,Žene,8473
2000,diseases_of_the_respiratory,Broj,Žene,341
2000,diseases_of_the_digestive,Broj,Žene,330
2000,symptoms_signs_and_abnormal,Broj,Žene,1376
2000,injuries_poisoning_and_consequences,Broj,Žene,279
2000,Ukupno,Broj,Žene,12777
2001,infectious_and_parasitic,Broj,Oba spola,257
2001,neoplasms,Broj,Oba spola,5347
2001,diseases_of_the_blood,Broj,Oba spola,20
2001,endocrine_metabolic_and_nutritional,Broj,Oba spola,667
2001,mental_and_behavioural_disorders,Broj,Oba spola,48
2001,diseases_of_the_nervous,Broj,Oba spola,161
2001,diseases_of_the_eye,Broj,Oba spola,1
2001,diseases_of_the_circulatory,Broj,Oba spola,16328
2001,diseases_of_the_respiratory,Broj,Oba spola,745
2001,diseases_of_the_digestive,Broj,Oba spola,827
2001,diseases_of_the_skin,Broj,Oba spola,17
2001,diseases_of_the_musculoskeletal,Broj,Oba spola,14
2001,diseases_of_the_genitourinary,Broj,Oba spola,397
2001,pregnancy_childbirth_and_the,Broj,Oba spola,1
2001,certain_conditions_originating,Broj,Oba spola,188
2001,congenital_malformations_deformations,Broj,Oba spola,43
2001,symptoms_signs_and_abnormal,Broj,Oba spola,3031
2001,injuries_poisoning_and_consequences,Broj,Oba spola,1017
2001,external_causes_of_mortality,Broj,Oba spola,261
2001,factors_influencing_health_status,Broj,Oba spola,1
2001,unknown,Broj,Oba spola,954
2001,Ukupno,Broj,Oba spola,30325
2001,infectious_and_parasitic,Broj,Muškarci,157
2001,neoplasms,Broj,Muškarci,3288
2001,diseases_of_the_blood,Broj,Muškarci,7
2001,endocrine_metabolic_and_nutritional,Broj,Muškarci,240
2001,mental_and_behavioural_disorders,Broj,Muškarci,37
2001,diseases_of_the_nervous,Broj,Muškarci,79
2001,diseases_of_the_eye,Broj,Muškarci,1
2001,diseases_of_the_circulatory,Broj,Muškarci,7943
2001,diseases_of_the_respiratory,Broj,Muškarci,434
2001,diseases_of_the_digestive,Broj,Muškarci,540
2001,diseases_of_the_skin,Broj,Muškarci,5
2001,diseases_of_the_musculoskeletal,Broj,Muškarci,6
2001,diseases_of_the_genitourinary,Broj,Muškarci,200
2001,pregnancy_childbirth_and_the,Broj,Muškarci,0
2001,certain_conditions_originating,Broj,Muškarci,109
2001,congenital_malformations_deformations,Broj,Muškarci,18
2001,symptoms_signs_and_abnormal,Broj,Muškarci,1637
2001,injuries_poisoning_and_consequences,Broj,Muškarci,768
2001,external_causes_of_mortality,Broj,Muškarci,206
2001,unknown,Broj,Muškarci,527
2001,Ukupno,Broj,Muškarci,16202
2001,infectious_and_parasitic,Broj,Žene,100
2001,neoplasms,Broj,Žene,2059
2001,diseases_of_the_blood,Broj,Žene,13
2001,endocrine_metabolic_and_nutritional,Broj,Žene,427
2001,mental_and_behavioural_disorders,Broj,Žene,11
2001,diseases_of_the_nervous,Broj,Žene,82
2001,diseases_of_the_circulatory,Broj,Žene,8385
