Year,UNIT_MEASURE,Entitet,Value
1999,Broj,Republika Srpska,457
2000,Broj,Republika Srpska,393
2001,Broj,Republika Srpska,382
2002,Broj,Republika Srpska,334
2003,Broj,Republika Srpska,325
2004,Broj,Republika Srpska,307
2005,Broj,Republika Srpska,263
2006,Broj,Republika Srpska,278
2007,Broj,Federacija BiH,351
2007,Broj,Republika Srpska,313
2008,Broj,Federacija BiH,348
2008,Broj,Republika Srpska,310
2009,Broj,Federacija BiH,361
2009,Broj,Republika Srpska,306
2010,Broj,Federacija BiH,368
2010,Broj,Republika Srpska,305
2011,Broj,Federacija BiH,368
2011,Broj,Republika Srpska,308
2012,Broj,Federacija BiH,366
2012,Broj,Republika Srpska,319
2013,Broj,Federacija BiH,350
2013,Broj,Republika Srpska,320
2014,Broj,Federacija BiH,358
2014,Broj,Republika Srpska,326
2015,Broj,Federacija BiH,357
2015,Broj,Republika Srpska,400
2016,Broj,Federacija BiH,377
2016,Broj,Republika Srpska,400
2017,Broj,Federacija BiH,373
2017,Broj,Republika Srpska,395
2018,Broj,Federacija BiH,362
2018,Broj,Republika Srpska,420
2019,Broj,Federacija BiH,359
