Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Spol,Value
2018,%,Ukupan omjer gospodarske potpore,Oba spola,44.32
2020,%,Ukupan omjer gospodarske potpore,Oba spola,47.11
2025,%,Ukupan omjer gospodarske potpore,Oba spola,53.97
2030,%,Ukupan omjer gospodarske potpore,Oba spola,62.1
2035,%,Ukupan omjer gospodarske potpore,Oba spola,68.98
2040,%,Ukupan omjer gospodarske potpore,Oba spola,76.0
2045,%,Ukupan omjer gospodarske potpore,Oba spola,84.34
2050,%,Ukupan omjer gospodarske potpore,Oba spola,94.16
2055,%,Ukupan omjer gospodarske potpore,Oba spola,103.66
2060,%,Ukupan omjer gospodarske potpore,Oba spola,110.44
2065,%,Ukupan omjer gospodarske potpore,Oba spola,115.81
2070,%,Ukupan omjer gospodarske potpore,Oba spola,116.18
2018,%,Omjer gospodarske potpore mladima,Oba spola,20.55
2020,%,Omjer gospodarske potpore mladima,Oba spola,20.65
2025,%,Omjer gospodarske potpore mladima,Oba spola,20.34
2030,%,Omjer gospodarske potpore mladima,Oba spola,20.29
2035,%,Omjer gospodarske potpore mladima,Oba spola,19.98
2040,%,Omjer gospodarske potpore mladima,Oba spola,19.66
2045,%,Omjer gospodarske potpore mladima,Oba spola,19.82
2050,%,Omjer gospodarske potpore mladima,Oba spola,20.49
2055,%,Omjer gospodarske potpore mladima,Oba spola,21.3
2060,%,Omjer gospodarske potpore mladima,Oba spola,21.85
2065,%,Omjer gospodarske potpore mladima,Oba spola,22.23
2070,%,Omjer gospodarske potpore mladima,Oba spola,22.13
2018,%,Omjer gospodarske potpore starijim osobama,Oba spola,23.78
2020,%,Omjer gospodarske potpore starijim osobama,Oba spola,26.46
2025,%,Omjer gospodarske potpore starijim osobama,Oba spola,33.64
2030,%,Omjer gospodarske potpore starijim osobama,Oba spola,41.81
2035,%,Omjer gospodarske potpore starijim osobama,Oba spola,49.0
2040,%,Omjer gospodarske potpore starijim osobama,Oba spola,56.34
2045,%,Omjer gospodarske potpore starijim osobama,Oba spola,64.52
2050,%,Omjer gospodarske potpore starijim osobama,Oba spola,73.67
2055,%,Omjer gospodarske potpore starijim osobama,Oba spola,82.36
2060,%,Omjer gospodarske potpore starijim osobama,Oba spola,88.59
2065,%,Omjer gospodarske potpore starijim osobama,Oba spola,93.58
2070,%,Omjer gospodarske potpore starijim osobama,Oba spola,94.04
2018,%,Omjer starijih i mladih,Oba spola,115.71
2020,%,Omjer starijih i mladih,Oba spola,128.11
2025,%,Omjer starijih i mladih,Oba spola,165.41
2030,%,Omjer starijih i mladih,Oba spola,206.01
2035,%,Omjer starijih i mladih,Oba spola,245.28
2040,%,Omjer starijih i mladih,Oba spola,286.61
2045,%,Omjer starijih i mladih,Oba spola,325.51
2050,%,Omjer starijih i mladih,Oba spola,359.64
2055,%,Omjer starijih i mladih,Oba spola,386.67
2060,%,Omjer starijih i mladih,Oba spola,405.45
2065,%,Omjer starijih i mladih,Oba spola,420.87
2070,%,Omjer starijih i mladih,Oba spola,424.86
2018,%,Ukupan omjer gospodarske potpore,M,44.32
2020,%,Ukupan omjer gospodarske potpore,M,47.11
2025,%,Ukupan omjer gospodarske potpore,M,53.97
