Year,UNIT_MEASURE,MICS_NUMBER,Entitet,Value
2000,_%,modern_methods,Federacija BiH,15.7
2000,_%,modern_methods,Republika Srpska,15.7
2006,_%,modern_methods,BiH,11.2
2006,_%,modern_methods,Federacija BiH,12.1
2006,_%,modern_methods,Republika Srpska,9.4
2006,_%,modern_methods,Brčko Distrikt BiH,12.7
2011,_%,modern_methods,BiH,12.0
2011,_%,modern_methods,Federacija BiH,10.0
2011,_%,modern_methods,Republika Srpska,16.8
2011,_%,modern_methods,Brčko Distrikt BiH,14.5
2000,_%,all_methods,BiH,48.0
2000,_%,all_methods,Federacija BiH,48.7
2000,_%,all_methods,Republika Srpska,45.1
2006,_%,all_methods,BiH,35.7
2006,_%,all_methods,Federacija BiH,33.6
2006,_%,all_methods,Republika Srpska,40.7
2006,_%,all_methods,Brčko Distrikt BiH,23.1
2011,_%,all_methods,BiH,45.8
2011,_%,all_methods,Federacija BiH,43.1
2011,_%,all_methods,Republika Srpska,53.7
2011,_%,all_methods,Brčko Distrikt BiH,24.7
2000,_%,traditional_methods,Federacija BiH,32.9
2000,_%,traditional_methods,Republika Srpska,29.4
2006,_%,traditional_methods,BiH,24.5
2006,_%,traditional_methods,Federacija BiH,21.5
2006,_%,traditional_methods,Republika Srpska,31.2
2006,_%,traditional_methods,Brčko Distrikt BiH,10.4
2011,_%,traditional_methods,BiH,34.0
2011,_%,traditional_methods,Federacija BiH,33.1
2011,_%,traditional_methods,Republika Srpska,36.9
2011,_%,traditional_methods,Brčko Distrikt BiH,10.2
