Year,UNIT_MEASURE,Sex,Type of educational institution,Value
2001,Number,Both sexes,Pre-school,15004.0
2002,Number,Both sexes,Pre-school,11692.0
2003,Number,Both sexes,Pre-school,13548.0
2004,Number,Both sexes,Pre-school,13135.0
2005,Number,Both sexes,Pre-school,12989.0
2006,Number,Both sexes,Pre-school,13384.0
2007,Number,Both sexes,Pre-school,14517.0
2008,Number,Both sexes,Pre-school,16260.0
2009,Number,Both sexes,Pre-school,16789.0
2010,Number,Both sexes,Pre-school,17028.0
2011,Number,Both sexes,Pre-school,17293.0
2012,Number,Both sexes,Pre-school,18817.0
2013,Number,Both sexes,Pre-school,19880.0
2014,Number,Both sexes,Pre-school,21490.0
2015,Number,Both sexes,Pre-school,22901.0
2016,Number,Both sexes,Pre-school,24918.0
2017,Number,Both sexes,Pre-school,25889.0
2018,Number,Both sexes,Pre-school,28511.0
2019,Number,Both sexes,Pre-school,30587.0
2020,Number,Both sexes,Pre-school,27698.0
2001,Number,M,Pre-school,7873.0
2002,Number,M,Pre-school,7671.0
2003,Number,M,Pre-school,7147.0
2004,Number,M,Pre-school,6897.0
2005,Number,M,Pre-school,6877.0
2006,Number,M,Pre-school,7085.0
2007,Number,M,Pre-school,7619.0
2008,Number,M,Pre-school,8497.0
2009,Number,M,Pre-school,8706.0
2010,Number,M,Pre-school,8962.0
2011,Number,M,Pre-school,9082.0
2012,Number,M,Pre-school,9859.0
2013,Number,M,Pre-school,10497.0
2014,Number,M,Pre-school,11200.0
2015,Number,M,Pre-school,11918.0
2016,Number,M,Pre-school,13086.0
2017,Number,M,Pre-school,13436.0
2018,Number,M,Pre-school,14855.0
2019,Number,M,Pre-school,15857.0
2020,Number,M,Pre-school,14477.0
2001,_%,M,Pre-school,52.47267395
2002,_%,M,Pre-school,65.60896339
2003,_%,M,Pre-school,52.7531739
2004,_%,M,Pre-school,52.5085649
2005,_%,M,Pre-school,52.94479945
2006,_%,M,Pre-school,52.9363419
2007,_%,M,Pre-school,52.48329545
2008,_%,M,Pre-school,52.25707257
2009,_%,M,Pre-school,51.8553815
2010,_%,M,Pre-school,52.63096077
2011,_%,M,Pre-school,52.51836003
2012,_%,M,Pre-school,52.39411171
2013,_%,M,Pre-school,52.80181087
2014,_%,M,Pre-school,52.11726384
2015,_%,M,Pre-school,52.04139557
2016,_%,M,Pre-school,52.51625331
2017,_%,M,Pre-school,51.89848971
2018,_%,M,Pre-school,52.1026972
2019,_%,M,Pre-school,51.84228594
2020,_%,M,Pre-school,52.26731172
2001,Number,F,Pre-school,7131.0
2002,Number,F,Pre-school,4021.0
2003,Number,F,Pre-school,6401.0
2004,Number,F,Pre-school,6238.0
2005,Number,F,Pre-school,6112.0
2006,Number,F,Pre-school,6299.0
2007,Number,F,Pre-school,6898.0
2008,Number,F,Pre-school,7763.0
2009,Number,F,Pre-school,8083.0
2010,Number,F,Pre-school,8066.0
2011,Number,F,Pre-school,8211.0
2012,Number,F,Pre-school,8958.0
2013,Number,F,Pre-school,9383.0
2014,Number,F,Pre-school,10290.0
2015,Number,F,Pre-school,10983.0
2016,Number,F,Pre-school,11832.0
2017,Number,F,Pre-school,12453.0
2018,Number,F,Pre-school,13656.0
2019,Number,F,Pre-school,14730.0
2020,Number,F,Pre-school,13221.0
2001,_%,F,Pre-school,47.52732605
2002,_%,F,Pre-school,34.39103661
2003,_%,F,Pre-school,47.2468261
2004,_%,F,Pre-school,47.4914351
