Year,UNIT_MEASURE,Method,Administrative area,Value
2000,_%,Modern methods,Federation of BiH,15.7
2000,_%,Modern methods,Republika Srpska,15.7
2006,_%,Modern methods,BiH,11.2
2006,_%,Modern methods,Federation of BiH,12.1
2006,_%,Modern methods,Republika Srpska,9.4
2006,_%,Modern methods,Brčko District of BiH,12.7
2011,_%,Modern methods,BiH,12.0
2011,_%,Modern methods,Federation of BiH,10.0
2011,_%,Modern methods,Republika Srpska,16.8
2011,_%,Modern methods,Brčko District of BiH,14.5
2000,_%,All methods,BiH,48.0
2000,_%,All methods,Federation of BiH,48.7
2000,_%,All methods,Republika Srpska,45.1
2006,_%,All methods,BiH,35.7
2006,_%,All methods,Federation of BiH,33.6
2006,_%,All methods,Republika Srpska,40.7
2006,_%,All methods,Brčko District of BiH,23.1
2011,_%,All methods,BiH,45.8
2011,_%,All methods,Federation of BiH,43.1
2011,_%,All methods,Republika Srpska,53.7
2011,_%,All methods,Brčko District of BiH,24.7
2000,_%,Traditional methods,Federation of BiH,32.9
2000,_%,Traditional methods,Republika Srpska,29.4
2006,_%,Traditional methods,BiH,24.5
2006,_%,Traditional methods,Federation of BiH,21.5
2006,_%,Traditional methods,Republika Srpska,31.2
2006,_%,Traditional methods,Brčko District of BiH,10.4
2011,_%,Traditional methods,BiH,34.0
2011,_%,Traditional methods,Federation of BiH,33.1
2011,_%,Traditional methods,Republika Srpska,36.9
2011,_%,Traditional methods,Brčko District of BiH,10.2
